chr,region,ctrl_18w_methy_site_num,chr,region,ccl4_18w_methy_site_num
chr1,159500000,1957,chr1,159500000,2172
chr1,1.6e+08,2385,chr1,1.6e+08,2643
chr1,160500000,2586,chr1,160500000,2847
chr1,1.61e+08,2172,chr1,1.61e+08,2250
chr1,161500000,2867,chr1,161500000,3167
chr1,1.62e+08,2614,chr1,1.62e+08,2929
chr1,162500000,2696,chr1,162500000,3085
chr1,1.63e+08,2733,chr1,1.63e+08,3092
chr1,163500000,3140,chr1,163500000,3298
chr1,1.64e+08,3585,chr1,1.64e+08,3733
chr1,164500000,4873,chr1,164500000,5217
chr1,1.65e+08,3596,chr1,1.65e+08,3976
chr1,165500000,4007,chr1,165500000,4521
chr1,1.66e+08,4516,chr1,1.66e+08,5374
chr1,166500000,4141,chr1,166500000,4926
chr1,1.67e+08,3635,chr1,1.67e+08,3934
chr1,167500000,4727,chr1,167500000,5441
chr1,1.68e+08,4390,chr1,1.68e+08,4932
chr1,168500000,4278,chr1,168500000,4911
chr1,1.69e+08,3047,chr1,1.69e+08,3209
chr1,169500000,3162,chr1,169500000,3313
chr1,1.7e+08,4030,chr1,1.7e+08,4371
chr1,170500000,4129,chr1,170500000,4530
chr1,1.71e+08,4253,chr1,1.71e+08,4925
chr1,171500000,3674,chr1,171500000,4368
chr1,1.72e+08,2420,chr1,1.72e+08,2860
chr1,172500000,3097,chr1,172500000,4054
chr1,1.73e+08,2310,chr1,1.73e+08,2680
chr1,173500000,1988,chr1,173500000,2130
chr1,1.74e+08,1884,chr1,1.74e+08,1871
chr1,174500000,1248,chr1,174500000,1367
chr1,1.75e+08,2254,chr1,1.75e+08,2536
chr1,175500000,1748,chr1,175500000,1894
chr1,1.76e+08,3065,chr1,1.76e+08,3515
chr1,176500000,2724,chr1,176500000,2839
chr1,1.77e+08,3347,chr1,1.77e+08,3545
chr1,177500000,3165,chr1,177500000,3448
chr1,1.78e+08,3319,chr1,1.78e+08,3814
chr1,178500000,3148,chr1,178500000,3580
chr1,1.79e+08,4310,chr1,1.79e+08,5102
chr1,179500000,5179,chr1,179500000,5760
chr1,1.8e+08,4303,chr1,1.8e+08,5122
chr1,180500000,4161,chr1,180500000,5325
chr1,1.81e+08,4769,chr1,1.81e+08,5472
chr1,181500000,4188,chr1,181500000,5011
chr1,1.82e+08,4437,chr1,1.82e+08,5037
chr1,182500000,4665,chr1,182500000,5583
chr1,1.83e+08,4684,chr1,1.83e+08,5556
chr1,183500000,4241,chr1,183500000,4856
chr1,1.84e+08,3246,chr1,1.84e+08,3571
chr1,184500000,3831,chr1,184500000,4324
chr1,1.85e+08,4465,chr1,1.85e+08,5418
chr1,185500000,4357,chr1,185500000,4975
chr1,1.86e+08,3454,chr1,1.86e+08,3946
chr1,186500000,3296,chr1,186500000,3740
chr1,1.87e+08,4676,chr1,1.87e+08,5272
chr1,187500000,4391,chr1,187500000,4917
chr1,1.88e+08,3978,chr1,1.88e+08,4445
chr1,188500000,4052,chr1,188500000,4445
chr1,1.89e+08,4478,chr1,1.89e+08,4968
chr1,189500000,4332,chr1,189500000,4696
chr1,1.9e+08,4410,chr1,1.9e+08,5396
chr1,190500000,4144,chr1,190500000,4963
chr1,1.91e+08,4714,chr1,1.91e+08,5659
chr1,191500000,4070,chr1,191500000,5095
chr1,1.92e+08,3721,chr1,1.92e+08,4746
chr1,192500000,2826,chr1,192500000,3418
chr1,1.93e+08,3256,chr1,1.93e+08,3656
chr1,193500000,2922,chr1,193500000,3661
chr1,1.94e+08,2334,chr1,1.94e+08,2621
chr1,194500000,2003,chr1,194500000,2079
chr1,1.95e+08,2053,chr1,1.95e+08,2316
chr10,3500000,2091,chr10,3500000,2150
chr10,4e+06,2959,chr10,4e+06,3357
chr10,4500000,3574,chr10,4500000,4324
chr10,5e+06,3439,chr10,5e+06,3830
chr10,5500000,3422,chr10,5500000,3872
chr10,6e+06,3110,chr10,6e+06,3312
chr10,6500000,2529,chr10,6500000,2745
chr10,7e+06,2267,chr10,7e+06,2368
chr10,7500000,3435,chr10,7500000,4021
chr10,8e+06,3622,chr10,8e+06,3611
chr10,8500000,3748,chr10,8500000,4175
chr10,9e+06,4098,chr10,9e+06,4785
chr10,9500000,3001,chr10,9500000,3343
chr10,1e+07,3510,chr10,1e+07,3803
chr10,10500000,2797,chr10,10500000,2981
chr10,1.1e+07,2657,chr10,1.1e+07,2887
chr10,11500000,3272,chr10,11500000,3415
chr10,1.2e+07,2615,chr10,1.2e+07,2692
chr10,12500000,2591,chr10,12500000,2751
chr10,1.3e+07,3685,chr10,1.3e+07,4177
chr10,13500000,4217,chr10,13500000,4635
chr10,1.4e+07,4027,chr10,1.4e+07,4465
chr10,14500000,3640,chr10,14500000,3836
chr10,1.5e+07,2870,chr10,1.5e+07,2981
chr10,15500000,2210,chr10,15500000,2244
chr10,1.6e+07,1817,chr10,1.6e+07,1892
chr10,16500000,2113,chr10,16500000,1955
chr10,1.7e+07,2074,chr10,1.7e+07,2102
chr10,17500000,2773,chr10,17500000,2786
chr10,1.8e+07,3501,chr10,1.8e+07,3777
chr10,18500000,3994,chr10,18500000,4385
chr10,1.9e+07,3225,chr10,1.9e+07,3591
chr10,19500000,3435,chr10,19500000,3888
chr10,2e+07,3875,chr10,2e+07,4258
chr10,20500000,4717,chr10,20500000,5171
chr10,2.1e+07,3907,chr10,2.1e+07,4302
chr10,21500000,4390,chr10,21500000,4935
chr10,2.2e+07,4113,chr10,2.2e+07,4755
chr10,22500000,992,chr10,22500000,1217
chr10,2.3e+07,3803,chr10,2.3e+07,4482
chr10,23500000,3572,chr10,23500000,3875
chr10,2.4e+07,3361,chr10,2.4e+07,3668
chr10,24500000,3503,chr10,24500000,3976
chr10,2.5e+07,3978,chr10,2.5e+07,4577
chr10,25500000,3747,chr10,25500000,4404
chr10,2.6e+07,2984,chr10,2.6e+07,3270
chr10,26500000,3442,chr10,26500000,3698
chr10,2.7e+07,3064,chr10,2.7e+07,3269
chr10,27500000,2314,chr10,27500000,2441
chr10,2.8e+07,2435,chr10,2.8e+07,2423
chr10,28500000,3265,chr10,28500000,3463
chr10,2.9e+07,2746,chr10,2.9e+07,2658
chr10,29500000,2757,chr10,29500000,2834
chr10,3e+07,2511,chr10,3e+07,2479
chr10,30500000,2473,chr10,30500000,2716
chr10,3.1e+07,2979,chr10,3.1e+07,3141
chr10,31500000,2580,chr10,31500000,2717
chr10,3.2e+07,2470,chr10,3.2e+07,2589
chr10,32500000,2068,chr10,32500000,2056
chr10,3.3e+07,2229,chr10,3.3e+07,2226
chr10,33500000,1954,chr10,33500000,1991
chr10,3.4e+07,2532,chr10,3.4e+07,2662
chr10,34500000,3315,chr10,34500000,3543
chr10,3.5e+07,2286,chr10,3.5e+07,2343
chr10,35500000,1883,chr10,35500000,2000
chr10,3.6e+07,1965,chr10,3.6e+07,2080
chr10,36500000,2036,chr10,36500000,2071
chr10,3.7e+07,2735,chr10,3.7e+07,2829
chr10,37500000,2888,chr10,37500000,2953
chr10,3.8e+07,2211,chr10,3.8e+07,2233
chr10,38500000,1976,chr10,38500000,1963
chr10,3.9e+07,2303,chr10,3.9e+07,2402
chr10,39500000,4238,chr10,39500000,4806
chr10,4e+07,4140,chr10,4e+07,4528
chr10,40500000,4197,chr10,40500000,4756
chr10,4.1e+07,4321,chr10,4.1e+07,4965
chr10,41500000,4291,chr10,41500000,4919
chr10,4.2e+07,4375,chr10,4.2e+07,5224
chr10,42500000,4976,chr10,42500000,5776
chr10,4.3e+07,4568,chr10,4.3e+07,5412
chr10,43500000,4759,chr10,43500000,5368
chr10,4.4e+07,4473,chr10,4.4e+07,5249
chr10,44500000,4172,chr10,44500000,4706
chr10,4.5e+07,3478,chr10,4.5e+07,3851
chr10,45500000,4239,chr10,45500000,4653
chr10,4.6e+07,2635,chr10,4.6e+07,2883
chr10,46500000,2512,chr10,46500000,2533
chr10,4.7e+07,1915,chr10,4.7e+07,1884
chr10,47500000,1837,chr10,47500000,1822
chr10,4.8e+07,2117,chr10,4.8e+07,2146
chr10,48500000,1333,chr10,48500000,1356
chr10,4.9e+07,1601,chr10,4.9e+07,1586
chr10,49500000,1714,chr10,49500000,1696
chr10,5e+07,2009,chr10,5e+07,1935
chr10,50500000,1990,chr10,50500000,2112
chr10,5.1e+07,2958,chr10,5.1e+07,3038
chr10,51500000,2072,chr10,51500000,2133
chr10,5.2e+07,2804,chr10,5.2e+07,2914
chr10,52500000,3212,chr10,52500000,3521
chr10,5.3e+07,2646,chr10,5.3e+07,2796
chr10,53500000,2714,chr10,53500000,3088
chr10,5.4e+07,3489,chr10,5.4e+07,3857
chr10,54500000,2732,chr10,54500000,2857
chr10,5.5e+07,2311,chr10,5.5e+07,2388
chr10,55500000,1998,chr10,55500000,2004
chr10,5.6e+07,2289,chr10,5.6e+07,2222
chr10,56500000,2959,chr10,56500000,3233
chr10,5.7e+07,2849,chr10,5.7e+07,2973
chr10,57500000,2382,chr10,57500000,2605
chr10,5.8e+07,2176,chr10,5.8e+07,2310
chr10,58500000,2255,chr10,58500000,2477
chr10,5.9e+07,4075,chr10,5.9e+07,4465
chr10,59500000,4021,chr10,59500000,4643
chr10,6e+07,5096,chr10,6e+07,5911
chr10,60500000,4323,chr10,60500000,5224
chr10,6.1e+07,4245,chr10,6.1e+07,5283
chr10,61500000,3856,chr10,61500000,4789
chr10,6.2e+07,4544,chr10,6.2e+07,5587
chr10,62500000,4221,chr10,62500000,5399
chr10,6.3e+07,4919,chr10,6.3e+07,5584
chr10,63500000,4607,chr10,63500000,5201
chr10,6.4e+07,3810,chr10,6.4e+07,4038
chr10,64500000,3058,chr10,64500000,3297
chr10,6.5e+07,2562,chr10,6.5e+07,2411
chr10,65500000,2019,chr10,65500000,1935
chr10,6.6e+07,2102,chr10,6.6e+07,2181
chr10,66500000,2382,chr10,66500000,2438
chr10,6.7e+07,4078,chr10,6.7e+07,4694
chr10,67500000,4599,chr10,67500000,5213
chr10,6.8e+07,4219,chr10,6.8e+07,5212
chr10,68500000,4089,chr10,68500000,4639
chr10,6.9e+07,4153,chr10,6.9e+07,4497
chr10,69500000,4623,chr10,69500000,5343
chr10,7e+07,4883,chr10,7e+07,5708
chr10,70500000,5036,chr10,70500000,6148
chr10,7.1e+07,4395,chr10,7.1e+07,5020
chr10,71500000,4919,chr10,71500000,5710
chr10,7.2e+07,2767,chr10,7.2e+07,3180
chr10,72500000,2655,chr10,72500000,2768
chr10,7.3e+07,2980,chr10,7.3e+07,3109
chr10,73500000,2751,chr10,73500000,2839
chr10,7.4e+07,2625,chr10,7.4e+07,2753
chr10,74500000,2539,chr10,74500000,2621
chr10,7.5e+07,3541,chr10,7.5e+07,3708
chr10,75500000,4449,chr10,75500000,5500
chr10,7.6e+07,4537,chr10,7.6e+07,5531
chr10,76500000,5057,chr10,76500000,5965
chr10,7.7e+07,3974,chr10,7.7e+07,4659
chr10,77500000,4427,chr10,77500000,5475
chr10,7.8e+07,4120,chr10,7.8e+07,5000
chr10,78500000,4219,chr10,78500000,5243
chr10,7.9e+07,2597,chr10,7.9e+07,2846
chr10,79500000,2603,chr10,79500000,2624
chr10,8e+07,4458,chr10,8e+07,5886
chr10,80500000,4753,chr10,80500000,6073
chr10,8.1e+07,4965,chr10,8.1e+07,6115
chr10,81500000,4870,chr10,81500000,6405
chr10,8.2e+07,1665,chr10,8.2e+07,2140
chr10,82500000,2643,chr10,82500000,2721
chr10,8.3e+07,3371,chr10,8.3e+07,4075
chr10,83500000,5036,chr10,83500000,6142
chr10,8.4e+07,4274,chr10,8.4e+07,5065
chr10,84500000,3880,chr10,84500000,4429
chr10,8.5e+07,4370,chr10,8.5e+07,5357
chr10,85500000,3949,chr10,85500000,4351
chr10,8.6e+07,4108,chr10,8.6e+07,4381
chr10,86500000,3720,chr10,86500000,4138
chr10,8.7e+07,3776,chr10,8.7e+07,4488
chr10,87500000,3599,chr10,87500000,3905
chr10,8.8e+07,3028,chr10,8.8e+07,3208
chr10,88500000,4255,chr10,88500000,4659
chr10,8.9e+07,3947,chr10,8.9e+07,4262
chr10,89500000,3028,chr10,89500000,3522
chr10,9e+07,3322,chr10,9e+07,3574
chr10,90500000,2849,chr10,90500000,2865
chr10,9.1e+07,4114,chr10,9.1e+07,4540
chr10,91500000,3954,chr10,91500000,4590
